TenantId,SourceSystem,MG,ManagementGroupName,"TimeGenerated [UTC]",Computer,RawData,"ContainerJobName_s","_timestamp_d","ContainerGroupName_s","time_t [UTC]","ContainerImage_s",Category,"ContainerGroupId_g","ContainerId_g","ContainerName_s","Stream_s","RevisionName_s","ContainerAppName_s","EnvironmentName_s","Log_s",Type,"_ResourceId"
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:50:20.751 PM",,,"rpa-metrics","1766091020.01502","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:50:19.605 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:50:19,605 WARNING src.automation.robot - Standard fill failed for tag filter input; retrying with JS.","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:50:26.193 PM",,,"rpa-metrics","1766091025.0266","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:50:24.617 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:50:24,616 WARNING src.automation.robot - Standard click on Filter button failed; retrying with JS.","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:50:26.193 PM",,,"rpa-metrics","1766091025.02661","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:50:24.919 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:50:24,919 INFO src.automation.robot - Tag 1A40D030000701D000009020 attempt 1: row count 1","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:50:26.193 PM",,,"rpa-metrics","1766091025.02661","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:50:24.927 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:50:24,926 INFO src.automation.robot - Applying Tag equals filter for 1A40D030000A5A1000005999","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:50:58.842 PM",,,"rpa-metrics","1766091058.06641","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:50:57.972 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:50:57,972 WARNING src.automation.robot - Keyboard navigation to Filter failed; falling back to mouse interaction.","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:51:13.801 PM",,,"rpa-metrics","1766091073.5875","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:51:13.253 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:51:13,253 WARNING src.automation.robot - Standard click on Filter button failed; retrying with JS.","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:51:13.801 PM",,,"rpa-metrics","1766091073.58751","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:51:13.510 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:51:13,509 INFO src.automation.robot - Tag 1A40D030000A5A1000005999 attempt 1: row count 1","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:51:13.801 PM",,,"rpa-metrics","1766091073.58751","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:51:13.519 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:51:13,519 INFO src.automation.robot - Applying Tag equals filter for 1A40D030000701D000009026","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:51:47.765 PM",,,"rpa-metrics","1766091106.62504","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:51:46.548 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:51:46,548 WARNING src.automation.robot - Keyboard navigation to Filter failed; falling back to mouse interaction.","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:51:57.788 PM",,,"rpa-metrics","1766091117.13895","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:51:56.812 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:51:56,812 WARNING src.automation.robot - Standard fill failed for tag filter input; retrying with JS.","ContainerAppConsoleLogs_CL",
"f992218d-c0bd-4060-b467-6921cd641fac",RestAPI,,,"12/18/2025, 8:52:02.990 PM",,,"rpa-metrics","1766091122.1543","rpa-metrics-6owjz67-zjk4n","12/18/2025, 8:52:01.824 PM","mcrlabsacr1234.azurecr.io/rpa-metrics:v1.2",ContainerAppConsoleLogs,"08994647-10cf-48d9-bcba-f7d980c57906","5fc0e8e5-24db-4934-ac37-c9e7b80f7cc8","rpa-metrics",stdout,,,"greenpond-ffe669f3","2025-12-18 20:52:01,824 WARNING src.automation.robot - Standard click on Filter button failed; retrying with JS.","ContainerAppConsoleLogs_CL",
